波数(cm-1),吸光度
399.67,0.000000
400.16,0.022664
400.64,0.021424
401.12,0.019495
401.60,0.017200
402.09,0.014891
402.57,0.012855
403.05,0.011268
403.53,0.010190
404.01,0.009595
404.50,0.009395
404.98,0.009483
405.46,0.009760
405.94,0.010154
406.42,0.010619
406.91,0.011091
407.39,0.011507
407.87,0.011820
408.35,0.012029
408.83,0.012194
409.32,0.012426
409.80,0.012837
410.28,0.013485
410.76,0.014355
411.25,0.015358
411.73,0.016376
412.21,0.017311
412.69,0.018139
413.17,0.018908
413.66,0.019709
414.14,0.020612
414.62,0.021639
415.10,0.022760
415.58,0.023928
416.07,0.025123
416.55,0.026373
417.03,0.027736
417.51,0.029238
418.00,0.030726
418.48,0.031784
418.96,0.031811
419.44,0.030467
419.92,0.028063
420.41,0.025339
420.89,0.022971
421.37,0.021297
421.85,0.020422
422.33,0.020277
422.82,0.020693
423.30,0.021404
423.78,0.022117
424.26,0.022593
424.74,0.022686
425.23,0.022366
425.71,0.021675
426.19,0.020675
426.67,0.019420
427.16,0.017971
427.64,0.016399
428.12,0.014791
428.60,0.013236
429.08,0.011820
429.57,0.010605
430.05,0.009646
430.53,0.008982
431.01,0.008641
431.49,0.008630
431.98,0.008924
432.46,0.009471
432.94,0.010189
433.42,0.010976
433.90,0.011733
434.39,0.012373
434.87,0.012851
435.35,0.013192
435.83,0.013488
436.32,0.013869
436.80,0.014440
437.28,0.015250
437.76,0.016264
438.24,0.017388
438.73,0.018510
439.21,0.019552
439.69,0.020487
440.17,0.021336
440.65,0.022141
441.14,0.022926
441.62,0.023675
442.10,0.024343
442.58,0.024877
443.07,0.025260
443.55,0.025529
444.03,0.025754
444.51,0.025985
444.99,0.026218
445.48,0.026385
445.96,0.026383
446.44,0.026141
446.92,0.025668
447.40,0.025073
447.89,0.024531
448.37,0.024219
448.85,0.024230
449.33,0.024543
449.81,0.025023
450.30,0.025475
450.78,0.025704
451.26,0.025568
451.74,0.025034
452.23,0.024176
452.71,0.023154
453.19,0.022139
453.67,0.021280
454.15,0.020654
454.64,0.020268
455.12,0.020085
455.60,0.020047
456.08,0.020094
456.56,0.020156
457.05,0.020158
457.53,0.020038
458.01,0.019768
458.49,0.019393
458.98,0.019009
459.46,0.018735
459.94,0.018662
460.42,0.018839
460.90,0.019273
461.39,0.019935
461.87,0.020762
462.35,0.021666
462.83,0.022562
463.31,0.023375
463.80,0.024054
464.28,0.024575
464.76,0.024938
465.24,0.025164
465.72,0.025306
466.21,0.025439
466.69,0.025651
467.17,0.026005
467.65,0.026518
468.14,0.027134
468.62,0.027750
469.10,0.028239
469.58,0.028509
470.06,0.028539
470.55,0.028378
471.03,0.028123
471.51,0.027889
471.99,0.027764
472.47,0.027770
472.96,0.027870
473.44,0.027989
473.92,0.028066
474.40,0.028082
474.88,0.028058
475.37,0.028023
475.85,0.027994
476.33,0.027958
476.81,0.027886
477.30,0.027743
477.78,0.027519
478.26,0.027231
478.74,0.026919
479.22,0.026618
479.71,0.026337
480.19,0.026053
480.67,0.025725
481.15,0.025313
481.63,0.024805
482.12,0.024236
482.60,0.023675
483.08,0.023208
483.56,0.022906
484.05,0.022801
484.53,0.022882
485.01,0.023104
485.49,0.023402
485.97,0.023726
486.46,0.024046
486.94,0.024348
487.42,0.024620
487.90,0.024848
488.38,0.025012
488.87,0.025095
489.35,0.025099
489.83,0.025050
490.31,0.024997
490.79,0.024996
491.28,0.025099
491.76,0.025330
492.24,0.025691
492.72,0.026158
493.21,0.026699
493.69,0.027286
494.17,0.027895
494.65,0.028508
495.13,0.029098
495.62,0.029629
496.10,0.030061
496.58,0.030361
497.06,0.030520
497.54,0.030560
498.03,0.030526
498.51,0.030467
498.99,0.030420
499.47,0.030402
499.95,0.030412
500.44,0.030439
500.92,0.030478
501.40,0.030532
501.88,0.030615
502.37,0.030739
502.85,0.030903
503.33,0.031089
503.81,0.031274
504.29,0.031440
504.78,0.031579
505.26,0.031701
505.74,0.031817
506.22,0.031936
506.70,0.032049
507.19,0.032140
507.67,0.032184
508.15,0.032170
508.63,0.032106
509.12,0.032015
509.60,0.031927
510.08,0.031861
510.56,0.031827
511.04,0.031820
511.53,0.031838
512.01,0.031889
512.49,0.031998
512.97,0.032199
513.45,0.032519
513.94,0.032964
514.42,0.033507
514.90,0.034089
515.38,0.034640
515.86,0.035094
516.35,0.035417
516.83,0.035612
517.31,0.035720
517.79,0.035798
518.28,0.035891
518.76,0.036025
519.24,0.036210
519.72,0.036442
520.20,0.036726
520.69,0.037069
521.17,0.037474
521.65,0.037934
522.13,0.038424
522.61,0.038906
523.10,0.039340
523.58,0.039703
524.06,0.039993
524.54,0.040228
525.03,0.040431
525.51,0.040612
525.99,0.040755
526.47,0.040831
526.95,0.040808
527.44,0.040682
527.92,0.040489
528.40,0.040288
528.88,0.040145
529.36,0.040105
529.85,0.040172
530.33,0.040317
530.81,0.040487
531.29,0.040627
531.77,0.040710
532.26,0.040741
532.74,0.040756
533.22,0.040801
533.70,0.040912
534.19,0.041107
534.67,0.041383
535.15,0.041725
535.63,0.042118
536.11,0.042556
536.60,0.043032
537.08,0.043537
537.56,0.044048
538.04,0.044533
538.52,0.044958
539.01,0.045302
539.49,0.045568
539.97,0.045780
540.45,0.045970
540.93,0.046167
541.42,0.046382
541.90,0.046607
542.38,0.046831
542.86,0.047049
543.35,0.047271
543.83,0.047526
544.31,0.047843
544.79,0.048242
545.27,0.048716
545.76,0.049240
546.24,0.049780
546.72,0.050311
547.20,0.050833
547.68,0.051365
548.17,0.051930
548.65,0.052538
549.13,0.053168
549.61,0.053776
550.10,0.054311
550.58,0.054738
551.06,0.055059
551.54,0.055313
552.02,0.055555
552.51,0.055839
552.99,0.056185
553.47,0.056587
553.95,0.057011
554.43,0.057423
554.92,0.057799
555.40,0.058135
555.88,0.058441
556.36,0.058723
556.84,0.058977
557.33,0.059182
557.81,0.059312
558.29,0.059347
558.77,0.059287
559.26,0.059151
559.74,0.058960
560.22,0.058730
560.70,0.058461
561.18,0.058137
561.67,0.057747
562.15,0.057292
562.63,0.056794
563.11,0.056296
563.59,0.055836
564.08,0.055437
564.56,0.055091
565.04,0.054768
565.52,0.054429
566.00,0.054042
566.49,0.053605
566.97,0.053137
567.45,0.052681
567.93,0.052273
568.42,0.051937
568.90,0.051673
569.38,0.051466
569.86,0.051291
570.34,0.051127
570.83,0.050961
571.31,0.050786
571.79,0.050592
572.27,0.050372
572.75,0.050116
573.24,0.049817
573.72,0.049482
574.20,0.049129
574.68,0.048782
575.17,0.048464
575.65,0.048183
576.13,0.047932
576.61,0.047692
577.09,0.047441
577.58,0.047169
578.06,0.046881
578.54,0.046594
579.02,0.046324
579.50,0.046081
579.99,0.045860
580.47,0.045643
580.95,0.045409
581.43,0.045143
581.91,0.044841
582.40,0.044509
582.88,0.044161
583.36,0.043805
583.84,0.043447
584.33,0.043093
584.81,0.042750
585.29,0.042431
585.77,0.042156
586.25,0.041940
586.74,0.041789
587.22,0.041691
587.70,0.041626
588.18,0.041564
588.66,0.041490
589.15,0.041402
589.63,0.041319
590.11,0.041268
590.59,0.041270
591.08,0.041332
591.56,0.041437
592.04,0.041553
592.52,0.041646
593.00,0.041704
593.49,0.041734
593.97,0.041764
594.45,0.041824
594.93,0.041932
595.41,0.042082
595.90,0.042248
596.38,0.042395
596.86,0.042493
597.34,0.042535
597.82,0.042531
598.31,0.042508
598.79,0.042489
599.27,0.042486
599.75,0.042490
600.24,0.042478
600.72,0.042425
601.20,0.042312
601.68,0.042133
602.16,0.041896
602.65,0.041610
603.13,0.041281
603.61,0.040906
604.09,0.040479
604.57,0.039993
605.06,0.039446
605.54,0.038843
606.02,0.038196
606.50,0.037517
606.98,0.036816
607.47,0.036105
607.95,0.035390
608.43,0.034683
608.91,0.033994
609.40,0.033332
609.88,0.032700
610.36,0.032094
610.84,0.031504
611.32,0.030914
611.81,0.030312
612.29,0.029691
612.77,0.029054
613.25,0.028408
613.73,0.027766
614.22,0.027137
614.70,0.026523
615.18,0.025924
615.66,0.025335
616.15,0.024753
616.63,0.024172
617.11,0.023592
617.59,0.023012
618.07,0.022432
618.56,0.021858
619.04,0.021296
619.52,0.020757
620.00,0.020255
620.48,0.019803
620.97,0.019409
621.45,0.019075
621.93,0.018793
622.41,0.018551
622.89,0.018337
623.38,0.018140
623.86,0.017954
624.34,0.017776
624.82,0.017603
625.31,0.017428
625.79,0.017243
626.27,0.017040
626.75,0.016813
627.23,0.016565
627.72,0.016310
628.20,0.016066
628.68,0.015852
629.16,0.015678
629.64,0.015545
630.13,0.015446
630.61,0.015364
631.09,0.015283
631.57,0.015195
632.05,0.015095
632.54,0.014988
633.02,0.014880
633.50,0.014776
633.98,0.014681
634.47,0.014598
634.95,0.014531
635.43,0.014486
635.91,0.014468
636.39,0.014481
636.88,0.014522
637.36,0.014577
637.84,0.014627
638.32,0.014650
638.80,0.014630
639.29,0.014564
639.77,0.014460
640.25,0.014336
640.73,0.014216
641.22,0.014119
641.70,0.014054
642.18,0.014021
642.66,0.014011
643.14,0.014012
643.63,0.014015
644.11,0.014013
644.59,0.014004
645.07,0.013991
645.55,0.013979
646.04,0.013972
646.52,0.013976
647.00,0.013993
647.48,0.014025
647.96,0.014070
648.45,0.014126
648.93,0.014183
649.41,0.014237
649.89,0.014282
650.38,0.014318
650.86,0.014350
651.34,0.014384
651.82,0.014426
652.30,0.014476
652.79,0.014532
653.27,0.014589
653.75,0.014642
654.23,0.014694
654.71,0.014754
655.20,0.014832
655.68,0.014938
656.16,0.015071
656.64,0.015224
657.13,0.015377
657.61,0.015511
658.09,0.015613
658.57,0.015678
659.05,0.015715
659.54,0.015740
660.02,0.015770
660.50,0.015816
660.98,0.015880
661.46,0.015954
661.95,0.016026
662.43,0.016086
662.91,0.016127
663.39,0.016148
663.87,0.016152
664.36,0.016144
664.84,0.016126
665.32,0.016103
665.80,0.016079
666.29,0.016063
666.77,0.016068
667.25,0.016114
667.73,0.016215
668.21,0.016365
668.70,0.016528
669.18,0.016660
669.66,0.016728
670.14,0.016733
670.62,0.016690
671.11,0.016615
671.59,0.016522
672.07,0.016417
672.55,0.016303
673.03,0.016183
673.52,0.016061
674.00,0.015945
674.48,0.015845
674.96,0.015773
675.45,0.015734
675.93,0.015730
676.41,0.015752
676.89,0.015788
677.37,0.015826
677.86,0.015859
678.34,0.015885
678.82,0.015911
679.30,0.015944
679.78,0.015989
680.27,0.016044
680.75,0.016102
681.23,0.016149
681.71,0.016177
682.20,0.016181
682.68,0.016164
683.16,0.016136
683.64,0.016106
684.12,0.016084
684.61,0.016072
685.09,0.016068
685.57,0.016066
686.05,0.016061
686.53,0.016049
687.02,0.016033
687.50,0.016017
687.98,0.016009
688.46,0.016014
688.94,0.016037
689.43,0.016079
689.91,0.016134
690.39,0.016200
690.87,0.016270
691.36,0.016338
691.84,0.016401
692.32,0.016455
692.80,0.016499
693.28,0.016529
693.77,0.016544
694.25,0.016540
694.73,0.016516
695.21,0.016469
695.69,0.016405
696.18,0.016330
696.66,0.016256
697.14,0.016197
697.62,0.016160
698.11,0.016153
698.59,0.016170
699.07,0.016203
699.55,0.016241
700.03,0.016269
700.52,0.016280
701.00,0.016269
701.48,0.016238
701.96,0.016190
702.44,0.016128
702.93,0.016058
703.41,0.015985
703.89,0.015913
704.37,0.015848
704.85,0.015798
705.34,0.015765
705.82,0.015750
706.30,0.015750
706.78,0.015760
707.27,0.015771
707.75,0.015780
708.23,0.015784
708.71,0.015784
709.19,0.015781
709.68,0.015773
710.16,0.015759
710.64,0.015733
711.12,0.015692
711.60,0.015636
712.09,0.015571
712.57,0.015505
713.05,0.015449
713.53,0.015408
714.01,0.015382
714.50,0.015362
714.98,0.015339
715.46,0.015305
715.94,0.015258
716.43,0.015201
716.91,0.015145
717.39,0.015100
717.87,0.015074
718.35,0.015068
718.84,0.015079
719.32,0.015099
719.80,0.015120
720.28,0.015136
720.76,0.015145
721.25,0.015146
721.73,0.015136
722.21,0.015114
722.69,0.015080
723.17,0.015033
723.66,0.014979
724.14,0.014925
724.62,0.014878
725.10,0.014844
725.59,0.014823
726.07,0.014809
726.55,0.014795
727.03,0.014771
727.51,0.014737
728.00,0.014697
728.48,0.014659
728.96,0.014633
729.44,0.014626
729.92,0.014638
730.41,0.014663
730.89,0.014691
731.37,0.014713
731.85,0.014722
732.34,0.014717
732.82,0.014699
733.30,0.014673
733.78,0.014641
734.26,0.014601
734.75,0.014552
735.23,0.014494
735.71,0.014427
736.19,0.014354
736.67,0.014280
737.16,0.014209
737.64,0.014143
738.12,0.014083
738.60,0.014028
739.08,0.013977
739.57,0.013933
740.05,0.013897
740.53,0.013871
741.01,0.013855
741.50,0.013848
741.98,0.013847
742.46,0.013848
742.94,0.013851
743.42,0.013856
743.91,0.013866
744.39,0.013881
744.87,0.013901
745.35,0.013922
745.83,0.013939
746.32,0.013946
746.80,0.013941
747.28,0.013928
747.76,0.013912
748.25,0.013903
748.73,0.013907
749.21,0.013929
749.69,0.013966
750.17,0.014013
750.66,0.014059
751.14,0.014097
751.62,0.014119
752.10,0.014120
752.58,0.014100
753.07,0.014058
753.55,0.013999
754.03,0.013928
754.51,0.013851
754.99,0.013776
755.48,0.013710
755.96,0.013656
756.44,0.013616
756.92,0.013589
757.41,0.013571
757.89,0.013561
758.37,0.013555
758.85,0.013554
759.33,0.013557
759.82,0.013563
760.30,0.013571
760.78,0.013577
761.26,0.013579
761.74,0.013579
762.23,0.013577
762.71,0.013579
763.19,0.013590
763.67,0.013611
764.15,0.013643
764.64,0.013683
765.12,0.013725
765.60,0.013764
766.08,0.013795
766.57,0.013817
767.05,0.013829
767.53,0.013831
768.01,0.013823
768.49,0.013803
768.98,0.013772
769.46,0.013734
769.94,0.013695
770.42,0.013661
770.90,0.013638
771.39,0.013628
771.87,0.013629
772.35,0.013633
772.83,0.013633
773.32,0.013623
773.80,0.013600
774.28,0.013568
774.76,0.013534
775.24,0.013506
775.73,0.013486
776.21,0.013477
776.69,0.013477
777.17,0.013482
777.65,0.013489
778.14,0.013497
778.62,0.013506
779.10,0.013516
779.58,0.013523
780.06,0.013526
780.55,0.013518
781.03,0.013499
781.51,0.013471
781.99,0.013440
782.48,0.013417
782.96,0.013408
783.44,0.013417
783.92,0.013444
784.40,0.013482
784.89,0.013520
785.37,0.013550
785.85,0.013567
786.33,0.013567
786.81,0.013551
787.30,0.013522
787.78,0.013483
788.26,0.013436
788.74,0.013387
789.23,0.013340
789.71,0.013302
790.19,0.013274
790.67,0.013258
791.15,0.013251
791.64,0.013244
792.12,0.013228
792.60,0.013199
793.08,0.013157
793.56,0.013107
794.05,0.013060
794.53,0.013028
795.01,0.013019
795.49,0.013034
795.97,0.013070
796.46,0.013117
796.94,0.013164
797.42,0.013204
797.90,0.013233
798.39,0.013250
798.87,0.013259
799.35,0.013263
799.83,0.013267
800.31,0.013273
800.80,0.013286
801.28,0.013307
801.76,0.013336
802.24,0.013370
802.72,0.013404
803.21,0.013432
803.69,0.013447
804.17,0.013444
804.65,0.013426
805.13,0.013398
805.62,0.013372
806.10,0.013357
806.58,0.013362
807.06,0.013391
807.55,0.013440
808.03,0.013504
808.51,0.013576
808.99,0.013648
809.47,0.013711
809.96,0.013760
810.44,0.013790
810.92,0.013798
811.40,0.013783
811.88,0.013750
812.37,0.013707
812.85,0.013665
813.33,0.013638
813.81,0.013634
814.30,0.013657
814.78,0.013702
815.26,0.013761
815.74,0.013821
816.22,0.013872
816.71,0.013906
817.19,0.013921
817.67,0.013919
818.15,0.013906
818.63,0.013887
819.12,0.013867
819.60,0.013853
820.08,0.013848
820.56,0.013856
821.04,0.013879
821.53,0.013915
822.01,0.013960
822.49,0.014007
822.97,0.014047
823.46,0.014075
823.94,0.014088
824.42,0.014086
824.90,0.014074
825.38,0.014060
825.87,0.014049
826.35,0.014045
826.83,0.014049
827.31,0.014063
827.79,0.014085
828.28,0.014116
828.76,0.014157
829.24,0.014207
829.72,0.014266
830.21,0.014330
830.69,0.014395
831.17,0.014458
831.65,0.014517
832.13,0.014572
832.62,0.014627
833.10,0.014685
833.58,0.014750
834.06,0.014824
834.54,0.014907
835.03,0.014995
835.51,0.015086
835.99,0.015176
836.47,0.015261
836.95,0.015338
837.44,0.015406
837.92,0.015464
838.40,0.015513
838.88,0.015555
839.37,0.015594
839.85,0.015634
840.33,0.015680
840.81,0.015734
841.29,0.015795
841.78,0.015864
842.26,0.015941
842.74,0.016024
843.22,0.016112
843.70,0.016204
844.19,0.016298
844.67,0.016389
845.15,0.016473
845.63,0.016547
846.11,0.016612
846.60,0.016672
847.08,0.016734
847.56,0.016806
848.04,0.016895
848.53,0.016999
849.01,0.017115
849.49,0.017234
849.97,0.017346
850.45,0.017446
850.94,0.017535
851.42,0.017617
851.90,0.017700
852.38,0.017791
852.86,0.017893
853.35,0.018006
853.83,0.018129
854.31,0.018259
854.79,0.018397
855.27,0.018544
855.76,0.018705
856.24,0.018880
856.72,0.019071
857.20,0.019273
857.69,0.019481
858.17,0.019692
858.65,0.019904
859.13,0.020119
859.61,0.020340
860.10,0.020572
860.58,0.020817
861.06,0.021076
861.54,0.021345
862.02,0.021621
862.51,0.021900
862.99,0.022180
863.47,0.022457
863.95,0.022727
864.44,0.022987
864.92,0.023236
865.40,0.023473
865.88,0.023701
866.36,0.023923
866.85,0.024141
867.33,0.024352
867.81,0.024551
868.29,0.024727
868.77,0.024867
869.26,0.024963
869.74,0.025011
870.22,0.025014
870.70,0.024979
871.18,0.024914
871.67,0.024821
872.15,0.024698
872.63,0.024541
873.11,0.024342
873.60,0.024100
874.08,0.023821
874.56,0.023514
875.04,0.023194
875.52,0.022873
876.01,0.022561
876.49,0.022261
876.97,0.021974
877.45,0.021695
877.93,0.021420
878.42,0.021145
878.90,0.020865
879.38,0.020575
879.86,0.020270
880.35,0.019944
880.83,0.019594
881.31,0.019218
881.79,0.018824
882.27,0.018419
882.76,0.018019
883.24,0.017638
883.72,0.017289
884.20,0.016981
884.68,0.016720
885.17,0.016506
885.65,0.016337
886.13,0.016209
886.61,0.016115
887.09,0.016049
887.58,0.016004
888.06,0.015975
888.54,0.015959
889.02,0.015953
889.51,0.015958
889.99,0.015974
890.47,0.016004
890.95,0.016045
891.43,0.016097
891.92,0.016156
892.40,0.016220
892.88,0.016285
893.36,0.016347
893.84,0.016407
894.33,0.016464
894.81,0.016517
895.29,0.016570
895.77,0.016623
896.25,0.016681
896.74,0.016747
897.22,0.016825
897.70,0.016917
898.18,0.017022
898.67,0.017135
899.15,0.017252
899.63,0.017365
900.11,0.017468
900.59,0.017558
901.08,0.017635
901.56,0.017701
902.04,0.017759
902.52,0.017813
903.00,0.017865
903.49,0.017917
903.97,0.017971
904.45,0.018029
904.93,0.018094
905.42,0.018168
905.90,0.018252
906.38,0.018344
906.86,0.018442
907.34,0.018544
907.83,0.018647
908.31,0.018753
908.79,0.018860
909.27,0.018969
909.75,0.019079
910.24,0.019187
910.72,0.019291
911.20,0.019388
911.68,0.019479
912.16,0.019571
912.65,0.019668
913.13,0.019779
913.61,0.019909
914.09,0.020057
914.58,0.020218
915.06,0.020385
915.54,0.020552
916.02,0.020711
916.50,0.020863
916.99,0.021007
917.47,0.021145
917.95,0.021278
918.43,0.021408
918.91,0.021532
919.40,0.021650
919.88,0.021762
920.36,0.021871
920.84,0.021977
921.33,0.022083
921.81,0.022191
922.29,0.022301
922.77,0.022415
923.25,0.022536
923.74,0.022665
924.22,0.022804
924.70,0.022953
925.18,0.023109
925.66,0.023268
926.15,0.023427
926.63,0.023585
927.11,0.023743
927.59,0.023908
928.07,0.024085
928.56,0.024277
929.04,0.024481
929.52,0.024690
930.00,0.024892
930.49,0.025080
930.97,0.025249
931.45,0.025403
931.93,0.025550
932.41,0.025702
932.90,0.025867
933.38,0.026050
933.86,0.026248
934.34,0.026457
934.82,0.026670
935.31,0.026885
935.79,0.027100
936.27,0.027315
936.75,0.027531
937.23,0.027745
937.72,0.027953
938.20,0.028153
938.68,0.028346
939.16,0.028537
939.65,0.028736
940.13,0.028947
940.61,0.029173
941.09,0.029411
941.57,0.029652
942.06,0.029887
942.54,0.030109
943.02,0.030319
943.50,0.030524
943.98,0.030733
944.47,0.030952
944.95,0.031184
945.43,0.031424
945.91,0.031663
946.39,0.031893
946.88,0.032111
947.36,0.032318
947.84,0.032520
948.32,0.032725
948.81,0.032936
949.29,0.033153
949.77,0.033373
950.25,0.033593
950.73,0.033811
951.22,0.034027
951.70,0.034243
952.18,0.034461
952.66,0.034679
953.14,0.034896
953.63,0.035105
954.11,0.035304
954.59,0.035491
955.07,0.035669
955.56,0.035842
956.04,0.036013
956.52,0.036181
957.00,0.036345
957.48,0.036501
957.97,0.036644
958.45,0.036772
958.93,0.036888
959.41,0.036993
959.89,0.037088
960.38,0.037173
960.86,0.037245
961.34,0.037302
961.82,0.037345
962.30,0.037375
962.79,0.037399
963.27,0.037423
963.75,0.037451
964.23,0.037484
964.72,0.037521
965.20,0.037560
965.68,0.037599
966.16,0.037642
966.64,0.037694
967.13,0.037760
967.61,0.037848
