波数(cm-1),吸光度
399.67,0.000000
400.16,0.131824
400.64,0.120896
401.12,0.112953
401.60,0.106878
402.09,0.101224
402.57,0.094598
403.05,0.086211
403.53,0.076236
404.01,0.065934
404.50,0.057270
404.98,0.052121
405.46,0.051749
405.94,0.056358
406.42,0.065313
406.91,0.077371
407.39,0.091077
407.87,0.104983
408.35,0.117993
408.83,0.129758
409.32,0.140658
409.80,0.151490
410.28,0.162871
410.76,0.174796
411.25,0.186379
411.73,0.196150
412.21,0.202452
412.69,0.204211
413.17,0.201374
413.66,0.194841
414.14,0.186032
414.62,0.176322
415.10,0.166840
415.58,0.158196
416.07,0.150529
416.55,0.143624
417.03,0.137012
417.51,0.130165
418.00,0.122831
418.48,0.115589
418.96,0.110346
419.44,0.109628
419.92,0.114332
420.41,0.122893
420.89,0.132583
421.37,0.141093
421.85,0.146605
422.33,0.147811
422.82,0.144172
423.30,0.136288
423.78,0.126328
424.26,0.117388
424.74,0.112633
425.23,0.113875
425.71,0.121166
426.19,0.133072
426.67,0.147252
427.16,0.161156
427.64,0.172528
428.12,0.180183
428.60,0.184057
429.08,0.184950
429.57,0.183908
430.05,0.181803
430.53,0.179166
431.01,0.176292
431.49,0.173535
431.98,0.171449
432.46,0.170643
432.94,0.171611
433.42,0.174450
433.90,0.178748
434.39,0.183505
434.87,0.187364
435.35,0.189098
435.83,0.188026
436.32,0.184375
436.80,0.179036
437.28,0.173122
437.76,0.167443
438.24,0.162396
438.73,0.158125
439.21,0.154739
439.69,0.152521
440.17,0.151979
440.65,0.153649
441.14,0.157881
441.62,0.164516
442.10,0.172795
442.58,0.181399
443.07,0.188940
443.55,0.194627
444.03,0.198542
444.51,0.201519
444.99,0.204561
445.48,0.208441
445.96,0.213327
446.44,0.218827
446.92,0.224186
447.40,0.228675
447.89,0.231840
448.37,0.233495
448.85,0.233616
449.33,0.232167
449.81,0.229056
450.30,0.224253
450.78,0.217999
451.26,0.211007
451.74,0.204370
452.23,0.199423
452.71,0.197295
453.19,0.198423
453.67,0.202389
454.15,0.208024
454.64,0.213964
455.12,0.218971
455.60,0.222313
456.08,0.223801
456.56,0.223642
457.05,0.222294
457.53,0.220294
458.01,0.218212
458.49,0.216539
458.98,0.215679
459.46,0.215975
459.94,0.217651
460.42,0.220765
460.90,0.225089
461.39,0.230048
461.87,0.234722
462.35,0.238031
462.83,0.239165
463.31,0.237800
463.80,0.234236
464.28,0.229197
464.76,0.223633
465.24,0.218421
465.72,0.214132
466.21,0.211020
466.69,0.208999
467.17,0.207799
467.65,0.207144
468.14,0.206959
468.62,0.207444
469.10,0.209056
469.58,0.212297
470.06,0.217497
470.55,0.224583
471.03,0.232940
471.51,0.241328
471.99,0.247956
472.47,0.251113
472.96,0.249761
473.44,0.244165
473.92,0.235769
474.40,0.226596
474.88,0.218476
475.37,0.212523
475.85,0.209236
476.33,0.208523
476.81,0.209886
477.30,0.212563
477.78,0.215749
478.26,0.218821
478.74,0.221378
479.22,0.223302
479.71,0.224669
480.19,0.225664
480.67,0.226514
481.15,0.227447
481.63,0.228664
482.12,0.230263
482.60,0.232185
483.08,0.234163
483.56,0.235778
484.05,0.236532
484.53,0.236040
485.01,0.234233
485.49,0.231434
485.97,0.228280
486.46,0.225439
486.94,0.223431
487.42,0.222416
487.90,0.222191
488.38,0.222258
488.87,0.222016
489.35,0.220968
489.83,0.218838
490.31,0.215675
490.79,0.211830
491.28,0.207917
491.76,0.204658
492.24,0.202760
492.72,0.202780
493.21,0.204939
493.69,0.209087
494.17,0.214707
494.65,0.221077
495.13,0.227344
495.62,0.232687
496.10,0.236541
496.58,0.238659
497.06,0.239194
497.54,0.238570
498.03,0.237317
498.51,0.235840
498.99,0.234301
499.47,0.232667
499.95,0.230810
500.44,0.228671
500.92,0.226391
501.40,0.224316
501.88,0.222873
502.37,0.222388
502.85,0.222896
503.33,0.224127
503.81,0.225619
504.29,0.226948
504.78,0.227858
505.26,0.228309
505.74,0.228416
506.22,0.228354
506.70,0.228276
507.19,0.228275
507.67,0.228439
508.15,0.228909
508.63,0.229883
509.12,0.231585
509.60,0.234122
510.08,0.237366
510.56,0.240870
511.04,0.243937
511.53,0.245843
512.01,0.246059
512.49,0.244537
512.97,0.241717
513.45,0.238390
513.94,0.235334
514.42,0.233098
514.90,0.231848
515.38,0.231386
515.86,0.231301
516.35,0.231205
516.83,0.230958
517.31,0.230708
517.79,0.230786
518.28,0.231456
518.76,0.232731
519.24,0.234297
519.72,0.235664
520.20,0.236360
520.69,0.236182
521.17,0.235272
521.65,0.234047
522.13,0.233017
522.61,0.232589
523.10,0.232977
523.58,0.234131
524.06,0.235806
524.54,0.237638
525.03,0.239299
525.51,0.240551
525.99,0.241289
526.47,0.241534
526.95,0.241402
527.44,0.241071
527.92,0.240739
528.40,0.240634
528.88,0.240989
529.36,0.241995
529.85,0.243783
530.33,0.246345
530.81,0.249518
531.29,0.252966
531.77,0.256262
532.26,0.258999
532.74,0.260852
533.22,0.261672
533.70,0.261496
534.19,0.260557
534.67,0.259225
535.15,0.257943
535.63,0.257162
536.11,0.257191
536.60,0.258169
537.08,0.260030
537.56,0.262549
538.04,0.265407
538.52,0.268282
539.01,0.270966
539.49,0.273379
539.97,0.275561
540.45,0.277590
540.93,0.279498
