角度(2θ),强度
5.00656514,2833
5.019695423,2958
5.032825705,2903
5.045955988,2882
5.059086271,2837
5.072216553,2814
5.085346836,2787
5.098477119,2789
5.111607401,2809
5.124737684,2800
5.137867967,2830
5.150998249,2746
5.164128532,2815
5.177258815,2705
5.190389097,2838
5.20351938,2745
5.216649663,2820
5.229779946,2785
5.242910228,2714
5.256040511,2789
5.269170794,2816
5.282301076,2897
5.295431359,2810
5.308561642,2738
5.321691924,2776
5.334822207,2733
5.34795249,2738
5.361082772,2759
5.374213055,2800
5.387343338,2830
5.40047362,2792
5.413603903,2699
5.426734186,2830
5.439864468,2825
5.452994751,2680
5.466125034,2709
5.479255316,2708
5.492385599,2720
5.505515882,2728
5.518646164,2777
5.531776447,2694
5.54490673,2827
5.558037012,2716
5.571167295,2710
5.584297578,2719
5.59742786,2735
5.610558143,2646
5.623688426,2738
5.636818709,2792
5.649948991,2753
5.663079274,2634
5.676209557,2665
5.689339839,2693
5.702470122,2686
5.715600405,2698
5.728730687,2621
5.74186097,2740
5.754991253,2731
5.768121535,2770
5.781251818,2640
5.794382101,2731
5.807512383,2670
5.820642666,2614
5.833772949,2696
5.846903231,2722
5.860033514,2670
5.873163797,2649
5.886294079,2645
5.899424362,2665
5.912554645,2623
5.925684927,2674
5.93881521,2725
5.951945493,2729
5.965075775,2723
5.978206058,2647
5.991336341,2581
6.004466623,2603
6.017596906,2659
6.030727189,2658
6.043857472,2522
6.056987754,2745
6.070118037,2622
6.08324832,2594
6.096378602,2616
6.109508885,2572
6.122639168,2691
6.13576945,2610
6.148899733,2590
6.162030016,2454
6.175160298,2611
6.188290581,2617
6.201420864,2617
6.214551146,2659
6.227681429,2619
6.240811712,2682
6.253941994,2596
6.267072277,2568
6.28020256,2569
6.293332842,2643
6.306463125,2660
6.319593408,2518
6.33272369,2606
6.345853973,2576
6.358984256,2602
6.372114538,2661
6.385244821,2740
6.398375104,2576
6.411505386,2681
6.424635669,2548
6.437765952,2571
6.450896235,2651
6.464026517,2535
6.4771568,2536
6.490287083,2691
6.503417365,2595
6.516547648,2765
6.529677931,2647
6.542808213,2602
6.555938496,2635
6.569068779,2582
6.582199061,2501
6.595329344,2595
6.608459627,2629
6.621589909,2595
6.634720192,2639
6.647850475,2578
6.660980757,2668
6.67411104,2545
6.687241323,2578
6.700371605,2568
6.713501888,2567
6.726632171,2594
6.739762453,2566
6.752892736,2628
6.766023019,2658
6.779153301,2685
6.792283584,2646
6.805413867,2616
6.818544149,2602
6.831674432,2571
6.844804715,2531
6.857934997,2577
6.87106528,2518
6.884195563,2579
6.897325846,2568
6.910456128,2551
6.923586411,2602
6.936716694,2617
6.949846976,2580
6.962977259,2526
6.976107542,2635
6.989237824,2569
7.002368107,2526
7.01549839,2701
7.028628672,2533
7.041758955,2569
7.054889238,2543
7.06801952,2620
7.081149803,2513
7.094280086,2552
7.107410368,2537
7.120540651,2622
7.133670934,2550
7.146801216,2559
7.159931499,2546
7.173061782,2464
7.186192064,2537
7.199322347,2615
7.21245263,2619
7.225582912,2573
7.238713195,2612
7.251843478,2537
7.26497376,2533
7.278104043,2567
