角度(2θ),强度
10,80
10.02,58
10.04,86
10.06,88
10.08,86
10.1,80
10.12,92
10.14,80
10.16,84
10.18,80
10.2,80
10.22,80
10.24,70
10.26,78
10.28,88
10.3,68
10.32,84
10.34,76
10.36,54
10.38,70
10.4,80
10.42,52
10.44,78
10.46,70
10.48,74
10.5,70
10.52,70
10.54,54
10.56,76
10.58,68
10.6,72
10.62,56
10.64,74
10.66,60
10.68,74
10.7,86
10.72,74
10.74,74
10.76,56
10.78,58
10.8,60
10.82,74
10.84,52
10.86,64
10.88,58
10.9,62
10.92,74
10.94,70
10.96,64
10.98,72
11,52
11.02,54
11.04,52
11.06,50
11.08,62
11.1,58
11.12,60
11.14,58
11.16,74
11.18,74
11.2,52
11.22,58
11.24,52
11.26,52
11.28,40
11.3,54
11.32,52
11.34,44
11.36,42
11.38,50
11.4,58
11.42,36
11.44,36
11.46,46
11.48,52
11.5,36
11.52,42
11.54,40
11.56,40
11.58,46
11.6,40
11.62,48
11.64,42
11.66,38
11.68,44
11.7,36
11.72,38
11.74,38
11.76,48
11.78,32
11.8,46
11.82,46
11.84,34
11.86,50
11.88,34
11.9,28
11.92,28
11.94,42
11.96,22
11.98,46
12,44
12.02,52
12.04,36
12.06,42
12.08,34
12.1,34
12.12,42
12.14,38
12.16,30
12.18,28
12.2,34
12.22,30
12.24,26
12.26,22
12.28,34
12.3,26
12.32,34
12.34,44
12.36,36
12.38,44
12.4,36
12.42,34
12.44,26
12.46,36
12.48,32
12.5,30
12.52,40
12.54,38
12.56,32
12.58,42
12.6,22
12.62,32
12.64,34
12.66,30
12.68,32
12.7,32
12.72,38
12.74,32
12.76,34
12.78,36
12.8,34
12.82,30
12.84,28
12.86,36
12.88,34
12.9,30
12.92,36
12.94,34
12.96,38
12.98,28
13,26
13.02,28
13.04,28
13.06,22
13.08,40
13.1,34
13.12,18
13.14,34
13.16,28
13.18,34
13.2,20
13.22,28
13.24,26
13.26,48
13.28,28
13.3,32
13.32,34
13.34,38
13.36,36
13.38,22
13.4,30
13.42,30
13.44,24
13.46,34
13.48,22
13.5,30
13.52,16
13.54,30
13.56,28
13.58,26
13.6,28
13.62,28
13.64,18
13.66,32
13.68,28
13.7,36
13.72,36
13.74,26
13.76,32
13.78,24
13.8,30
13.82,14
13.84,30
13.86,28
13.88,30
13.9,32
13.92,32
13.94,22
13.96,32
13.98,36
14,28
14.02,24
14.04,30
14.06,26
14.08,38
14.1,20
14.12,24
14.14,32
14.16,34
14.18,22
14.2,34
14.22,30
14.24,20
14.26,28
14.28,28
14.3,22
14.32,24
14.34,24
14.36,32
14.38,28
14.4,20
14.42,24
14.44,28
14.46,32
14.48,20
14.5,34
14.52,28
14.54,26
14.56,36
14.58,26
14.6,22
14.62,24
14.64,18
14.66,24
14.68,24
14.7,26
14.72,24
14.74,16
14.76,28
14.78,22
14.8,22
14.82,28
14.84,24
14.86,24
14.88,18
14.9,28
14.92,18
14.94,28
14.96,20
14.98,22
15,22
15.02,20
15.04,32
15.06,28
15.08,28
15.1,20
15.12,30
15.14,26
15.16,16
15.18,30
15.2,22
15.22,22
15.24,28
15.26,30
15.28,22
15.3,30
15.32,16
15.34,26
15.36,24
15.38,16
15.4,24
15.42,24
15.44,32
15.46,22
15.48,22
15.5,28
15.52,20
15.54,24
15.56,28
15.58,18
15.6,20
15.62,28
15.64,30
15.66,22
15.68,20
15.7,28
15.72,24
15.74,30
15.76,26
15.78,20
15.8,30
15.82,20
15.84,26
15.86,18
15.88,32
15.9,22
15.92,18
15.94,16
15.96,22
15.98,28
16,30
16.02,28
16.04,18
16.06,26
16.08,26
16.1,22
16.12,16
16.14,20
16.16,26
16.18,30
16.2,28
16.22,18
16.24,20
16.26,20
16.28,20
16.3,26
16.32,22
16.34,30
16.36,32
16.38,24
16.4,30
16.42,28
16.44,22
16.46,32
16.48,22
16.5,30
16.52,22
16.54,36
16.56,34
16.58,26
16.6,26
16.62,24
16.64,22
16.66,18
16.68,28
16.7,20
16.72,30
16.74,26
16.76,32
16.78,18
16.8,36
16.82,28
16.84,26
16.86,16
16.88,18
16.9,22
16.92,18
16.94,30
16.96,24
16.98,18
17,20
17.02,30
17.04,14
17.06,12
17.08,32
17.1,12
17.12,20
17.14,26
17.16,26
17.18,14
17.2,24
17.22,24
17.24,14
17.26,24
17.28,12
17.3,18
17.32,22
17.34,18
17.36,22
17.38,22
17.4,20
17.42,28
17.44,20
17.46,18
17.48,14
17.5,36
17.52,30
17.54,26
17.56,30
17.58,18
17.6,22
17.62,28
17.64,18
17.66,16
17.68,20
17.7,20
17.72,26
17.74,18
17.76,20
17.78,16
17.8,20
17.82,16
17.84,22
17.86,20
17.88,18
17.9,8
17.92,22
17.94,18
17.96,14
17.98,24
18,24
18.02,14
18.04,26
18.06,14
18.08,20
18.1,12
18.12,18
18.14,20
18.16,22
18.18,18
18.2,30
18.22,24
18.24,18
18.26,28
18.28,18
18.3,18
18.32,16
18.34,24
18.36,24
18.38,16
18.4,22
18.42,18
18.44,8
18.46,24
18.48,22
18.5,24
18.52,20
18.54,16
18.56,16
18.58,20
18.6,22
18.62,32
18.64,16
18.66,18
18.68,16
18.7,12
18.72,22
18.74,20
18.76,20
18.78,16
18.8,28
18.82,24
18.84,20
18.86,22
18.88,20
18.9,18
18.92,24
18.94,26
